,id,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,outcome,home_average_players,home_good_players,home_elite_players,away_average_players,away_good_players,away_elite_players,home_team_name,home_possession,home_goals_scored,home_goals_allowed,away_team_name,away_possession,away_goals_scored,away_goals_allowed
22,4361,2014-10-04,1724044,8667,9826,2,0,24227.0,163200.0,24658.0,24531.0,111930.0,40015.0,24656.0,115681.0,357880.0,105548.0,8922.0,22998.0,154271.0,23837.0,23030.0,146830.0,28901.0,8985.0,22929.0,35345.0,24157.0,160194.0,home_win,0,0,0,0,0,0,Hull City,-0.77967127443,1.0,1.26315789474,Crystal Palace,-1.35073274367,1.2,1.37142857143
23,4092,2014-12-20,1724145,8456,9826,3,0,31432.0,30509.0,30459.0,156551.0,16351.0,40196.0,36615.0,33991.0,37459.0,26181.0,38807.0,22998.0,154271.0,23837.0,26777.0,146830.0,35345.0,28901.0,8985.0,22929.0,160194.0,24157.0,home_win,4,2,3,0,0,0,Manchester City,1.84542278824,2.44444444444,0.944444444444,Crystal Palace,-1.35073274367,1.2,1.37142857143
24,4533,2016-01-16,1988924,8456,9826,4,0,31432.0,30509.0,30459.0,174321.0,16351.0,37459.0,101103.0,78324.0,169200.0,643709.0,37412.0,36283.0,146830.0,23837.0,23030.0,183519.0,22929.0,28901.0,198510.0,26160.0,35345.0,169721.0,home_win,0,1,5,1,0,0,Manchester City,1.84542278824,2.44444444444,0.944444444444,Crystal Palace,-1.35073274367,1.2,1.37142857143
25,4212,2015-03-03,1724255,8466,9826,1,0,95336.0,157838.0,26552.0,72665.0,46010.0,166676.0,46893.0,26675.0,178538.0,303339.0,41280.0,22998.0,146830.0,23837.0,23030.0,154271.0,28901.0,198510.0,35345.0,22929.0,160194.0,363340.0,home_win,0,2,0,0,0,0,Southampton,0.394099384551,2.02702702703,0.918918918919,Crystal Palace,-1.35073274367,1.2,1.37142857143
26,4704,2016-05-15,1987602,8466,9826,4,1,95336.0,149855.0,209405.0,26552.0,46010.0,212470.0,166676.0,303339.0,23792.0,94267.0,23293.0,22998.0,146830.0,23358.0,23030.0,183519.0,8985.0,28901.0,35345.0,149917.0,363340.0,30960.0,home_win,0,1,0,0,0,0,Southampton,0.394099384551,2.02702702703,0.918918918919,Crystal Palace,-1.35073274367,1.2,1.37142857143
27,4264,2015-04-11,1724297,8472,9826,1,4,103428.0,22964.0,188540.0,24150.0,180330.0,109058.0,25150.0,118929.0,30348.0,32627.0,169721.0,22998.0,146830.0,23837.0,23030.0,183519.0,8985.0,28901.0,198510.0,35345.0,160194.0,35523.0,away_win,0,0,0,0,0,0,Sunderland,-1.07460811554,1.02777777778,1.22222222222,Crystal Palace,-1.35073274367,1.2,1.37142857143
28,4055,2014-11-29,1724108,10003,9826,1,1,30973.0,89185.0,165704.0,24948.0,102356.0,144996.0,127130.0,38831.0,157729.0,52563.0,143365.0,22998.0,146830.0,23837.0,26777.0,154271.0,35345.0,22929.0,8985.0,160194.0,25537.0,363340.0,tie,1,0,0,0,0,0,Swansea City,0.467847313548,1.24324324324,1.10810810811,Crystal Palace,-1.35073274367,1.2,1.37142857143
29,4567,2016-02-06,1988958,10003,9826,1,1,30973.0,89185.0,155050.0,24948.0,102356.0,23882.0,46008.0,38831.0,157729.0,95955.0,109121.0,36283.0,146830.0,23837.0,23030.0,183519.0,149917.0,8985.0,198510.0,26160.0,130670.0,30960.0,tie,1,0,0,1,0,0,Swansea City,0.467847313548,1.24324324324,1.10810810811,Crystal Palace,-1.35073274367,1.2,1.37142857143
30,4077,2014-12-06,1724130,8586,9826,0,0,26295.0,361315.0,95509.0,37762.0,276121.0,160448.0,500520.0,174850.0,194165.0,157723.0,37506.0,22998.0,154271.0,26777.0,23837.0,146830.0,28901.0,8985.0,22929.0,198510.0,25537.0,160194.0,tie,2,3,1,0,0,0,Tottenham Hotspur,1.5023035741,1.7027027027,1.02702702703,Crystal Palace,-1.35073274367,1.2,1.37142857143
31,4738,2015-09-20,1988769,8586,9826,1,0,26295.0,159833.0,160599.0,37762.0,276121.0,361315.0,363333.0,212867.0,174850.0,110189.0,194165.0,119079.0,154271.0,26777.0,23030.0,183519.0,28901.0,26160.0,198510.0,35345.0,46417.0,160194.0,home_win,2,3,1,1,0,0,Tottenham Hotspur,1.5023035741,1.7027027027,1.02702702703,Crystal Palace,-1.35073274367,1.2,1.37142857143
